date,state,cases,deaths,new
2/12/20,Texas,1,0,1
2/13/20,Texas,2,0,1
2/14/20,Texas,2,0,0
2/15/20,Texas,2,0,0
2/16/20,Texas,2,0,0
2/17/20,Texas,2,0,0
2/18/20,Texas,2,0,0
2/19/20,Texas,2,0,0
2/20/20,Texas,2,0,0
2/21/20,Texas,4,0,2
2/22/20,Texas,4,0,0
2/23/20,Texas,4,0,0
2/24/20,Texas,10,0,6
2/25/20,Texas,10,0,0
2/26/20,Texas,10,0,0
2/27/20,Texas,10,0,0
2/28/20,Texas,11,0,1
2/29/20,Texas,11,0,0
3/1/20,Texas,11,0,0
3/2/20,Texas,11,0,0
3/3/20,Texas,11,0,0
3/4/20,Texas,12,0,1
3/5/20,Texas,16,0,4
3/6/20,Texas,19,0,3
3/7/20,Texas,19,0,0
3/8/20,Texas,23,0,4
3/9/20,Texas,24,0,1
3/10/20,Texas,31,0,7
3/11/20,Texas,33,0,2
3/12/20,Texas,41,0,8
3/13/20,Texas,58,0,17
3/14/20,Texas,69,0,11
3/15/20,Texas,80,0,11
3/16/20,Texas,87,1,7
3/17/20,Texas,106,1,19
3/18/20,Texas,166,2,60
3/19/20,Texas,248,4,82
3/20/20,Texas,386,5,138
3/21/20,Texas,547,5,161
3/22/20,Texas,639,7,92
3/23/20,Texas,728,7,89
3/24/20,Texas,857,11,129
3/25/20,Texas,1132,13,275
3/26/20,Texas,1542,21,410
3/27/20,Texas,1971,25,429
3/28/20,Texas,2381,30,410
3/29/20,Texas,2722,35,341
3/30/20,Texas,3065,46,343
3/31/20,Texas,3588,57,523
4/1/20,Texas,4402,65,814
4/2/20,Texas,4952,80,550
4/3/20,Texas,5773,98,821
4/4/20,Texas,6566,124,793
4/5/20,Texas,7117,136,551
4/6/20,Texas,8150,159,1033
4/7/20,Texas,8968,177,818
4/8/20,Texas,9897,195,929
4/9/20,Texas,11372,228,1475
4/10/20,Texas,12291,249,919
4/11/20,Texas,13208,265,917
4/12/20,Texas,13776,288,568
4/13/20,Texas,14487,320,711
4/14/20,Texas,15303,365,816
4/15/20,Texas,16106,395,803
4/16/20,Texas,16928,428,822
4/17/20,Texas,18131,461,1203
4/18/20,Texas,18927,487,796
4/19/20,Texas,19441,503,514
4/20/20,Texas,20035,523,594
4/21/20,Texas,20949,552,914
4/22/20,Texas,21769,571,820
4/23/20,Texas,22706,601,937
4/24/20,Texas,23650,625,944
4/25/20,Texas,24494,662,844
4/26/20,Texas,25209,676,715
4/27/20,Texas,25963,699,754
4/28/20,Texas,26868,738,905
4/29/20,Texas,27839,776,971
4/30/20,Texas,29072,828,1233
5/1/20,Texas,30342,853,1270
5/2/20,Texas,31433,875,1091
5/3/20,Texas,32299,890,866
5/4/20,Texas,33134,914,835
5/5/20,Texas,34286,955,1152
5/6/20,Texas,35441,985,1155
5/7/20,Texas,36682,1016,1241
5/8/20,Texas,37943,1059,1261
5/9/20,Texas,38849,1086,906
5/10/20,Texas,40037,1110,1188
5/11/20,Texas,40988,1137,951
5/12/20,Texas,42348,1169,1360
5/13/20,Texas,43822,1205,1474
5/14/20,Texas,45169,1256,1347
5/15/20,Texas,46987,1300,1818
5/16/20,Texas,47866,1330,879
5/17/20,Texas,48828,1356,962
5/18/20,Texas,49788,1362,960
5/19/20,Texas,51080,1405,1292
5/20/20,Texas,52369,1443,1289
5/21/20,Texas,53441,1480,1072
5/22/20,Texas,54369,1498,928
5/23/20,Texas,55451,1522,1082
5/24/20,Texas,56050,1533,599
5/25/20,Texas,56490,1536,440
5/26/20,Texas,57573,1552,1083
5/27/20,Texas,59105,1598,1532
5/28/20,Texas,60820,1618,1715
5/29/20,Texas,62073,1645,1253
5/30/20,Texas,63396,1676,1323
5/31/20,Texas,64974,1683,1578
6/1/20,Texas,66081,1695,1107
6/2/20,Texas,67966,1732,1885
6/3/20,Texas,69546,1766,1580
6/4/20,Texas,71330,1793,1784
6/5/20,Texas,73323,1821,1993
6/6/20,Texas,75077,1840,1754
6/7/20,Texas,75948,1846,871
6/8/20,Texas,77326,1856,1378
6/9/20,Texas,79271,1886,1945
6/10/20,Texas,81771,1916,2500
6/11/20,Texas,83772,1942,2001
6/12/20,Texas,86031,1965,2259
6/13/20,Texas,88120,1989,2089
6/14/20,Texas,89542,1995,1422
6/15/20,Texas,91726,2018,2184
6/16/20,Texas,95973,2057,4247
6/17/20,Texas,99466,2099,3493
6/18/20,Texas,102677,2137,3211
6/19/20,Texas,107322,2168,4645
6/20/20,Texas,111594,2186,4272
6/21/20,Texas,114886,2195,3292
6/22/20,Texas,119646,2213,4760
6/23/20,Texas,124726,2246,5080
6/24/20,Texas,131310,2292,6584
6/25/20,Texas,136783,2321,5473
6/26/20,Texas,142582,2362,5799
6/27/20,Texas,148639,2398,6057
6/28/20,Texas,152866,2408,4227
6/29/20,Texas,158756,2430,5890
6/30/20,Texas,166703,2482,7947
7/1/20,Texas,174826,2518,8123
7/2/20,Texas,182260,2562,7434
7/3/20,Texas,190049,2609,7789
7/4/20,Texas,195707,2646,5658
7/5/20,Texas,200137,2666,4430
7/6/20,Texas,209350,2726,9213
7/7/20,Texas,219164,2816,9814
7/8/20,Texas,229116,2935,9952
7/9/20,Texas,240025,3037,10909
7/10/20,Texas,249948,3129,9923
7/11/20,Texas,258280,3206,8332
7/12/20,Texas,264811,3246,6531
7/13/20,Texas,273732,3313,8921
7/14/20,Texas,284638,3449,10906
7/15/20,Texas,296478,3590,11840
7/16/20,Texas,311516,3744,15038
7/17/20,Texas,321254,3889,9738
7/18/20,Texas,330059,3972,8805
7/19/20,Texas,338036,4033,7977
7/20/20,Texas,345672,4160,7636
7/21/20,Texas,355594,4319,9922
7/22/20,Texas,366561,4522,10967
7/23/20,Texas,376104,4714,9543
7/24/20,Texas,383662,4876,7558
7/25/20,Texas,391609,5002,7947
7/26/20,Texas,395738,5090,4129
7/27/20,Texas,402295,6292,6557
7/28/20,Texas,412849,6518,10554
7/29/20,Texas,421891,6834,9042
7/30/20,Texas,432134,6987,10243
7/31/20,Texas,443090,7273,10956
8/1/20,Texas,448224,7477,5134
8/2/20,Texas,454759,7520,6535
8/3/20,Texas,463541,7697,8782
8/4/20,Texas,473105,7951,9564
8/5/20,Texas,482467,8152,9362
8/6/20,Texas,490102,8400,7635
8/7/20,Texas,498266,8680,8164
8/8/20,Texas,504605,8885,6339
8/9/20,Texas,510392,8984,5787
8/10/20,Texas,517182,9064,6790
8/11/20,Texas,524898,9311,7716
8/12/20,Texas,531825,9645,6927
8/13/20,Texas,538805,9879,6980
8/14/20,Texas,547670,10195,8865
8/15/20,Texas,555343,10379,7673
8/16/20,Texas,563464,10498,8121
8/17/20,Texas,569058,10559,5594
8/18/20,Texas,577220,10798,8162
8/19/20,Texas,582623,11043,5403
8/20/20,Texas,587900,11248,5277
8/21/20,Texas,593405,11483,5505
8/22/20,Texas,599156,11650,5751
8/23/20,Texas,602144,11760,2988
8/24/20,Texas,607621,11824,5477
8/25/20,Texas,613707,12012,6086
8/26/20,Texas,619836,12212,6129
8/27/20,Texas,623647,12444,3811
8/28/20,Texas,628492,12615,4845
8/29/20,Texas,633834,12733,5342
8/30/20,Texas,636547,12807,2713
8/31/20,Texas,640317,12857,3770
9/1/20,Texas,645534,13004,5217
9/2/20,Texas,649844,13185,4310
9/3/20,Texas,653321,13387,3477
9/4/20,Texas,658789,13516,5468
9/5/20,Texas,663246,13660,4457
9/6/20,Texas,665338,13739,2092
9/7/20,Texas,666209,13781,871
9/8/20,Texas,670427,13855,4218
9/9/20,Texas,675149,13986,4722
9/10/20,Texas,677888,13998,2739
9/11/20,Texas,683295,14279,5407
9/12/20,Texas,685921,14384,2626
9/13/20,Texas,689941,14458,4020
9/14/20,Texas,694547,14508,4606
9/15/20,Texas,701509,14661,6962
9/16/20,Texas,706034,14803,4525
9/17/20,Texas,710423,14909,4389
9/18/20,Texas,713652,15037,3229
9/19/20,Texas,716914,15124,3262
9/20/20,Texas,722460,15159,5546
9/21/20,Texas,744736,15212,22276